issn,eigenfactor_score,subject
00010782,0.0,1
00010944,6.978487e-05,1
00011452,0.0,1
00011541,0.0,1
00012092,0.0036563457,1
00012998,0.0128876055,1
00013072,0.0,1
00013765,0.0,1
00013838,5.9798975e-07,1
00014079,0.0009369563,1
00014273,0.0,1
00014338,0.0,1
00014370,0.0,1
00014575,0.0,1
00014788,0.0,1
00014826,0.0,1
00014842,0.0,1
00014966,0.0,1
00015164,0.00021046653,1
00015172,0.015401674,1
00015342,0.0,1
00015385,0.004005462,1
00015415,0.00083764724,1
00015423,0.00023171508,1
00015458,0.0017733377,1
00015547,0.0050235963,1
00015555,0.014087191,1
00015652,0.0,1
00015792,0.007133605,1
00015814,0.0003833671,1
00015830,0.0,1
00015970,0.0,1
00016012,9.134299e-05,1
00016071,0.0008140019,1
0001625X,0.0,1
00016268,0.020610027,1
00016314,0.015928898,1
00016322,0.0,1
00016349,0.034814354,1
00016357,0.006103757,1
00016454,0.0,1
00016462,0.0015252806,1
00016489,0.008034185,1
00016519,0.0012597408,1
00016594,0.0,1
00016659,4.6223402e-05,1
00016810,0.0,1
00016837,0.00064726395,1
0001690X,0.032548238,1
00016918,0.0,1
00016977,0.0,1
00016993,0.0,1
00017019,0.0022589932,1
0001706X,0.0,1
00017213,0.0,1
00017272,0.0,1
00017310,0.0062960484,1
00017868,0.00026636623,1
00018244,0.0,1
00018392,0.0,1
00018678,0.0,1
00018686,0.0,1
00018791,0.0,1
00019240,0.0,1
00020184,0.0,1
00020206,0.0,1
00020397,0.0,1
00020443,0.008225929,1
00020729,0.07201479,1
00021466,0.0,1
00021881,0.0,1
00021962,0.0,1
00023035,0.0,1
00023337,0.0,1
00023388,0.0,1
00025151,0.00059700414,1
00025658,0.0,1
00027014,0.0,1
00027162,0.0,1
00027294,0.0,1
00027316,0.0,1
00027642,0.0,1
00027685,0.0,1
00027820,0.0,1
00027863,0.0,1
00028177,0.01275362,1
00028282,0.0,1
00028312,0.0,1
00028320,0.0,1
00028444,0.0,1
00028487,0.0,1
00028614,0.114036664,1
00028703,0.06074327,1
00029092,0.0,1
00029114,0.0,1
00029122,0.0,1
00029149,0.08249961,1
00029157,0.0010181103,1
00029165,0.10120382,1
00029173,0.018582815,1
00029246,0.0,1
00029262,0.07574159,1
00029270,0.12458984,1
00029297,0.0,1
00029343,0.051073693,1
0002936X,0.0061558606,1
00029378,0.15025266,1
00029394,0.062489606,1
00029440,0.0,1
00029459,0.0,1
0002953X,0.07173989,1
00029548,0.0,1
00029556,0.0,1
00029564,0.0026647681,1
00029602,0.0,1
00029610,0.048483763,1
00029629,0.012509427,1
00029637,0.05993712,1
00029831,0.0,1
00029890,0.0,1
00029939,0.0,1
0003004X,0.0,1
00030082,0.0,1
00030090,0.0,1
00030147,0.0,1
0003021X,0.0,1
00030481,0.0,1
00030554,0.0,1
00030651,0.0,1
00031224,0.0,1
00031232,0.0,1
00031283,0.0,1
00031305,0.0,1
00031348,0.026103007,1
0003150X,0.0,1
00032409,0.049926277,1
00032417,0.0020781525,1
00032638,0.0,1
00032654,0.0,1
00032670,0.0,1
00032697,0.0,1
00032700,0.0,1
00032719,0.0,1
00032778,0.0,1
00032999,0.060515437,1
00033006,0.00090633036,1
00033022,0.061934292,1
00033170,7.5840086e-05,1
00033197,0.009111987,1
00033219,0.013161747,1
00033472,0.0,1
00033804,0.0,1
00033847,0.0,1
00033898,0.0003731222,1
00033928,0.00096247747,1
00034266,0.004467722,1
00034347,0.0,1
00034452,0.0,1
00034487,0.0,1
00034509,0.0019990066,1
00034541,0.0,1
0003469X,2.956331e-05,1
00034746,0.0,1
00034800,0.0,1
00034819,0.21504797,1
00034894,0.012405175,1
00034916,0.0,1
00034932,0.18094426,1
00034967,0.17201445,1
00034975,0.09057118,1
00035033,0.0,1
00035440,0.0,1
00035459,0.0,1
00035521,0.0,1
